3H Paris Marais Hôtel,179,3rd arr.,0.7 miles,8.5,Very good,NA,522
Excelsior Batignolles,111,17th arr.,2.3 miles,8.5,Very good,NA,1026
Bel Oranger Gare de Lyon,145,12th arr.,1.1 miles,8.1,Very good,NA,1061
Hôtel de Notre-Dame,191,5th arr.,"2,450 feet",8.1,Very good,9.5,899
Berkeley,123,14th arr.,1.6 miles,7.5,Good,NA,985
Hotel Saint-Louis Pigalle,NA,9th arr.,Metro access,8.8,Fabulous,NA,1581
Hôtel Marais Bastille,177,11th arr.,0.9 miles,8.7,Fabulous,NA,708
Hôtel De Reims,133,12th arr.,1.4 miles,7.9,Good,NA,924
Mary's Hotel République,83,11th arr.,1 miles,7.5,Good,NA,2251
Hotel Odeon Saint-Germain,209,6th arr.,0.7 miles,8.6,Fabulous,9.6,449
Hotel d'Amiens,128,10th arr.,1.6 miles,7.8,Good,NA,1739
Urban Bivouac Hotel,125,13th arr.,2.2 miles,9,Superb,NA,1028
Montorgueil Charming Place,NA,1st arr.,Metro access,8.1,Very good,NA,12
The Element Hôtel,93,10th arr.,1.2 miles,7.7,Good,NA,2124
Source Hôtel,97,17th arr.,3 miles,8.2,Very good,NA,797
Hôtel de France Quartier Latin,119,5th arr.,1.2 miles,7.9,Good,NA,1868
Royal Hotel Paris Champs Elysées,209,8th arr.,2.6 miles,8,Very good,NA,712
Acacias Etoile,137,17th arr.,3.1 miles,8.6,Fabulous,NA,684
Hotel de Nell,330,9th arr.,1.2 miles,9.1,Superb,NA,303
Hyatt Regency Paris Etoile,191,17th arr.,3.1 miles,8.3,Very good,NA,4686
CMG République - Marais D,NA,3rd arr.,Metro access,8.1,Very good,9.4,8
Le Grand Hôtel de Normandie,171,9th arr.,1.7 miles,8.3,Very good,NA,699
Urban Bivouac Hotel,125,13th arr.,2.2 miles,9,Superb,NA,1028
Hôtel LOCOMO,145,12th arr.,1.2 miles,9,Superb,9.5,382
Hôtel Mathis Elysées,225,8th arr.,2.1 miles,8.7,Fabulous,9.6,435
Tipi,132,14th arr.,1.9 miles,7.2,Good,NA,2269
Hôtel Aiglon - Esprit de France,156,14th arr.,1.5 miles,9,Superb,NA,884
72 - Mermoz Mickey Mouse,NA,8th arr.,Metro access,8.1,Very good,10,8
Hotel De Vigny,256,8th arr.,2.6 miles,7.6,Good,NA,286
OKKO Hotels Paris Gare de l'Est,166,10th arr.,1.5 miles,9,Superb,NA,314
Select Hotel,191,5th arr.,0.7 miles,9,Superb,9.7,2212
VAUGIRARD PORTE DE VERSAILLES PARIS,202,15th arr.,2.6 miles,NA,Superb,NA,NA
Cler Hotel,209,7th arr.,2.1 miles,9,Superb,9.5,760
Le Relais du Marais,191,3rd arr.,0.8 miles,8.3,Very good,NA,2352
Levis Charming Place,NA,17th arr.,Metro access,7,Good,NA,11
1er Etage Opéra,216,9th arr.,1.6 miles,9,Superb,9.6,220
Hôtel Bedford,178,8th arr.,1.7 miles,8.5,Very good,NA,2294
Gardette Park Hotel,150,11th arr.,1.3 miles,7.9,Good,NA,700
Hôtel Augustin - Astotel,217,8th arr.,2 miles,9,Superb,9.3,864
Hotel Luxembourg Parc,233,6th arr.,0.9 miles,9,Superb,NA,240
